歌曲id,歌名,歌曲语言,演唱人数,歌词,歌曲来源,歌曲简介,风格,标签
48,Letting Go,中文,1,,蔡健雅,,悠扬，空灵，流行，热门,
49,花 feat. 花譜,日文,1,,花谱,,电子，日系,
50,千里邀月,中文,3,,純白,,悠扬，动听,哔哩哔哩，神仙曲
51,梦回还,中文,1,,狐妖小红娘,,热血,童年回忆，动漫
52,童年,中文,1,,罗大佑,,华语，经典,
53,爱的供养,中文,1,,宫,,华语,
54,银河与星斗,中文,1,,yihuik苡慧,,悠扬，空灵，干净，热门，仙气,
55,可塑性记忆《因为喜欢你》,日文,1,,可塑性记忆,,日系，动漫,
56,盗墓笔记·十年人间,中文,1,,洛天依,,戏腔，激昂,虚拟歌手，V家，盗墓笔记
57,惊鹊,中文,1,,忘川风华录,,空灵，激昂，仙气，古风,忘川风华录，神仙曲
58,青柠,中文,1,,徐秉龙，桃十五,,华语，经典，恋爱,
59,有点甜,中文,1,,汪苏泷,,华语，经典，恋爱,
60,深海少女,日文,1,,初音未来,,日系，电子，动听,V家，虚拟歌手
61,胧月,日文,1,,初音未来,,日系,V家，虚拟歌手
62,《ハレハレヤ》- 朗朗晴天,日文,1,,v_flower,,日系，流行,
63,何以歌,中文,1,,魔道祖师,,动漫,
64,少女REI,日文,1,,异世界情绪,,日系,
65,悦神,中文,1,,天官赐福,,动漫,同人曲
66,盗将行,中文,1,,花粥,,古风，流行,
67,大喜,中文,2,,泠鸢yousa,,仙气,哔哩哔哩
68,不谓侠,中文,1,,萧忆情,,动听，古风，流行,
69,藏,中文,1,,徐梦圆，双笙,,流行,
70,踏山河,中文,1,,是七叔呢,,古风，流行,
71,昨日青空,中文,1,,尤长靖,,华语，经典,
72,百战成诗,中文,1,,王者荣耀,,国风,王者荣耀
73,广寒宫,中文,1,,丸子哟，吴碧霞,,古风，流行,
74,画心,中文,1,,张靓颖,,伤感,电视剧，画皮
75,霜雪千年,中文,1,,洛天依，乐正绫,,古风，流行,
76,小青呱,中文,1,,hanser,,可爱,
77,好字唯之,中文,1,,忘川风华录,,古风,忘川风华录
78,下山,中文,1,,要不要买菜,,可爱，古风,
79,锦鲤抄,中文,1,,银临，云の泣,,古风，经典,
80,谪仙,中文,1,,叶里,,古风，经典,
81,强风大背头,日文,1,,歌愛ユキ,,日系，流行,
82,错位时空,中文,1,,艾辰,,流行，热门,
83,太陽と向日葵,日文,1,,Flower,,日系，流行,代表作
84,心做し,日文,1,,majiko,,日系，流行，经典,
85,岁月神偷,中文,1,,金玟岐,,华语，经典,
86,拼凑的断音,日文,1,,初音未来,,日系,V家，虚拟歌手
87,回る空うさぎ,日文,1,,初音未来,,悠扬，动听，日系,
88,【小小恋歌】小さな恋のうた · 椎名真昼,日文,1,,石見舞菜香,,日系，动漫,
89,花,中文,1,,鞠婧祎,,伤感,填词翻唱
90,ポケット(口袋),日文,3,,whiteeeen,,日系，动漫,
91,寄明月,中文,1,,乐正绫,,国风，经典,哔哩哔哩
92,命に嫌われている。（被生命所厌恶。）,日文,1,,Mafumafu,,日系，经典,
93,Secret base～君がくれたもの — 翻唱【未闻花名ED】,日文,1,,未闻花名,,日系，动漫,未闻花名
94,ねぇねぇねぇ（呐呐呐。 ）,日文,1,,初音未来,,日系,V家，虚拟歌手
95,稻香原版,中文,1,,周杰伦,,华语，经典，田园,
96,『轻飘飘』,日文,1,,牧野由依,,日系，流行,
97,夜航星,中文,1,,我的三体,,热血，科幻,三体，我的世界，章北海
98,This game _ NO GAME NO LIFE 游戏人生,日文,1,,游戏人生,,日系，动漫，热血,游戏人生
99,『Da Capo』,英文,1,,崩坏三,,空灵，悠扬,崩坏三，毕业旅行
100,青春修炼手册,中文,3,,TFBOYS,,欢快，活力,童年回忆
101,偏爱,中文,1,,仙剑三,,伤感，仙侠,仙剑三
102,这么可爱真是抱歉~,日文,1,,早见沙织,,欢快，活力，日系，流行,
103,勇者(The Brave),日文,1,,YOASOBI,,日系，动漫，电子，日系,葬送的芙莉莲
104,后会无期,中文,1,,徐良,,伤感，华语，经典,
105,INTERNET OVERDOSE,日文,1,,主播女孩重度依赖,,暗黑,抑郁症，主播女孩重度依赖
106,《INTERNET YAMERO》,日文,1,,主播女孩重度依赖,,暗黑,抑郁症，主播女孩重度依赖
107,花亦山,中文,2,,花亦山心之月,,古风，仙气,神仙曲，代表作，游戏
108,「Moon Halo」,英文,3,,崩坏三,,热血，热门,崩坏三
109,此生不换,中文,1,,仙剑三,,经典，伤感，仙侠,仙剑三
110,生生世世爱,中文,1,,仙剑三,,经典，仙侠,仙剑三
111,忘记时间,中文,1,,仙剑三,,经典，仙侠,仙剑三
112,【沃玛的生活第三期】ED歌曲,中文,1,,warma,,干净，可爱,沃玛的生活第三期
113,上山岗,中文,1,,洛天依,,欢快,虚拟歌手，V家
114,好きだから。,日文,1,,ユイカ,,日系，流行,
115,冬の花,日文,1,,宮本浩次,,日系，经典,
116,天下,中文,1,,张杰,,华语，经典,
117,圣剑学院的魔剑使 ED〖ゆるり〗果步,日文,1,,圣剑学院的魔剑使,,动漫,圣剑学院的魔剑使
118,突然好想你,中文,1,,五月天,,华语，经典,
119,TRUE,英文,1,,崩坏三,,热门，热血,崩坏三，爱门
120,勾指起誓,中文,1,,洛天依,,恋爱，欢快,虚拟歌手，V家
121,我的悲伤是水做的,中文,1,,洛天依,,干净,虚拟歌手，V家
122,magnet,日文,1,,初音未来，巡音流歌,,日系,V家，虚拟歌手
123,坏女孩,中文,1,,徐良，小凌,,华语，经典,片段
124,粛聖!! ロリ神レクイエム☆ _ 时雨羽衣,日文,1,,时雨羽衣,,可爱，日系，热门,
125,孤独月,日文,1,,幽闭星光,,日系,车万，幻想万华镜，东方project
126,泛泛人类不会祈祷,中文,1,,warma,,可爱,
127,坏女孩（完整版）,中文,1,,徐良，小凌,,华语，经典,
128,说爱你,中文,1,,蔡依林,,华语，经典,
129,万古生香,中文,1,,哔哩哔哩拜年纪,,国风,哔哩哔哩
130,你曾是少年,中文,1,,泠鸢yousa,,华语，经典，回忆,
131,樱花树下的约定,中文,1,,旺仔小乔,,华语，经典,
132,把回忆拼好给你,中文,1,,王贰浪,,华语，热门,
133,Only My Railgun,日文,1,,某科学的超电磁炮,,日系，动漫,某科学的超电磁炮
134,悬溺,中文,1,,葛东琪,,华语，热门，流行,
135,白金disco,日文,1,,伪物语,,日系，动漫,伪物语
136,炉心融解,日文,1,,镜音双子,,日系,V家，虚拟歌手
137,欧若拉,中文,1,,张韶涵,,华语，经典,
138,春よ、来い（春天来吧）,日文,1,,池田綾子,,日系，流行,
139,让风告诉你,中文,3,,原神,,可爱，热门,原神
140,失眠飞行,中文,1,,接个吻，开一枪，沈以诚，薛明媛,,流行,
141,Miku Miku oo ee uu,日文,1,,初音未来,,热门,虚拟歌手，V家
142,花月成双,中文,1,,三无Marblue,,流行,
143,【幻酱翻唱】我不曾忘记,中文,1,,原神,,热门,原神，代表作
144,轻涟【中文版】,中文,1,,原神,,热门,原神
145,素颜,中文,2,,许嵩,,华语，经典,
146,三国恋,中文,1,,Tank,,华语，热门,
147,秋殇别恋,中文,1,,牙牙乐，格子兮,,华语，热门,
148,世末歌者,中文,1,,乐正绫,,伤感,虚拟歌手，V家
149,Rubia,英文,1,,崩坏三,,空灵，热门,崩坏三
150,快乐手账,中文,1,,初音未来,,欢快，活力,哔哩哔哩拜年纪，V家，虚拟歌手
151,一路向北,中文,1,,周杰伦,,华语，经典,
152,棉花糖,中文,1,,至上励合,,华语，经典,代表作
153,孤单北半球,中文,1,,欧得洋,,华语，经典，伤感,代表作
154,一花依世界,中文,1,,洛天依,,欢快,哔哩哔哩，虚拟歌手，V家
155,暖暖,中文,2,,梁静茹,,华语，经典,
156,恋爱告急,中文,1,,鞠婧祎,,热门，流行,
157,海底,中文,1,,一支榴莲,,华语，流行,
158,起风了,中文,1,,买辣椒也用券,,华语，经典，空灵，悠扬,代表作
159,温软宇宙,中文,1,,warma,,童话,
160,1001夜,中文,2,,hanser，KBShinya,,热门，流行,
161,1001夜_女声轨翻唱,中文,1,,hanser，KBShinya,,热门，流行,
162,戒网,中文,2,,黑神话：悟空,,伤感，热门,游戏
163,我期待的不是雪,中文,1,,张妙格,,热门，伤感,
164,反方向的钟,中文,1,,周杰伦,,华语，经典,
165,热爱105℃的你,中文,1,,阿肆,,热门，流行,
166,晴天,中文,1,,周杰伦,,华语，经典,
167,MY ALL_中文版,中文,1,,滨崎步,,经典,
168,MY ALL,日文,1,,滨崎步,,日系，经典,
169,杨花落尽子规啼,中文,1,,G2er，黄诗扶，国风堂,,古风,
170,繁华唱遍,中文,1,,泠鸢yousa,,古风,
171,鸳鸯戏,中文,1,,黄龄,,古风,
172,牵丝戏,中文,1,,黄龄,,古风,
173,琵琶行,中文,1,,黄龄,,古风,
174,快乐星猫,中文,1,,牛奶咖啡,,欢快，活力,童年回忆
175,你从未离去,中文,1,,旺仔小乔,,伤感，悠扬,熊出没，童年回忆
176,樱花草,中文,1,,Sweety,,空灵，可爱,
177,星月神话,中文,1,,金莎,,空灵，悠扬，伤感，仙气,
178,美丽的神话,中文,1,,韩红，孙楠，兰音Reine,,空灵，悠扬，伤感，仙气,神仙曲，代表作
179,圣诞星,中文,1,,周杰伦,,华语，经典,
180,兰亭序,中文,1,,周杰伦,,华语，经典，戏腔,
181,心做し（心理作用）,日文,1,,初音未来,,日系，经典，电子,VOCALOID传说曲，虚拟歌手
182,斯卡布罗集市,英文,1,,Sarah Brightman,,悠扬，动听,
183,红昭愿,中文,1,,音阙诗听,,古风，经典,
184,赐我,中文,1,,一只白羊,,古风，经典,
185,月光,中文,1,,胡彦斌,,古风，经典，空灵,
186,一笑江湖_dj版,中文,1,,闻人听書_,,热门，流行,科目三
187,向云端,中文,1,,黄绮珊，小霞,,空灵，悠扬,
188,一花一剑,中文,1,,天官赐福,,国风，动漫,
189,追光者,中文,1,,岑宁儿,,华语，经典，热门，流行,代表作
190,我会等,中文,1,,承桓,,华语，经典，热门，流行,代表作
191,挥着翅膀的女孩,中文,1,,容祖儿,,华语，经典，回忆,代表作
192,take me hand,英文,1,,Cécile Corbel,,经典，悠扬，空灵,
193,红莲华,日文,1,,鬼灭之刃,,热血，日系，动漫,
194,不分手的恋爱,中文,1,,汪苏泷,,恋爱，华语，经典,
195,我曾遇到一束光,中文,1,,叶斯淳,,空灵，悠扬，伤感,
196,when christmas comes to town,英文,1,,Matthew Hall，Megan Moore,,欢快,圣诞
197,日不落,中文,1,,蔡依林,,华语，经典,
198,明天你好,中文,1,,牛奶咖啡,,华语，经典,
199,你的声音,中文,1,,小蓝背心,,流行，悠扬,
200,爱的城堡,中文,1,,卓文萱,,欢快，活力,
201,四季予你,中文,1,,程响,,热门，流行,
202,奶油苏打和冕形灯_ クリームソーダとシャンデリア,日文,1,,"Akie秋绘,早凉",,日系，流行，轻松，愉快,神仙曲，代表作
203,三日静寂,中文,1,,河图,,伤感，抒情,盗墓笔记
204,使一颗心免于哀伤,英文,1,,崩坏:星穹铁道,,伤感，抒情,崩坏:星穹铁道
205,使一颗心免于哀伤-流萤完整独白,英文,1,,崩坏:星穹铁道,,伤感，抒情,剧情向，崩坏:星穹铁道
